Session ID,Turn,Question,Expected Chunk ID,Actual Chunk ID,Expected Answer,Found,Actual Answer,Result,Comments,Reasons for Failure
1,1,สอบถามหน่อยครับ ต้นเดือนหน้าผมจะเริ่มว่างงาน ถ้าผมต้องการเงินชดเชยกรณีว่างงานต้องทำยังไงครับ,13,"13,1,17,27,28,44,37,45,36,43,8,40","ได้เลยครับ เบื้องต้นผมของสอบถามข้อมูลเพิ่มเติม ดังนี้
1. คุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานหรือไม่
2. คุณอยู่ในกรณีใด
     - ถูกเลิกจ้าง
     - ลาออกหรือสิ้นสุดสัญญาจ้างที่มีกำหนดระยะเวลาการจ้างไว้แน่นอน
     - ทำงานไม่ได้จากเหตุสุดวิสัย เช่น เหตุเกิดจากภัยธรรมชาติที่ทำให้นายจ้างไม่สามารถประกอบกิจการได้ตามปกติ",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีว่างงาน ผู้ประกันตนต้องส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานค่ะ

หากถูกเลิกจ้าง จะได้รับเงินทดแทนการขาดรายได้ระหว่างการว่างงาน ร้อยละ 50 ของค่าจ้าง ครั้งละไม่เกิน 180 วัน

หากลาออกหรือสิ้นสุดสัญญาจ้าง จะได้รับเงินทดแทนการขาดรายได้ระหว่างการว่างงาน ร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วัน

ทั้งนี้ ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ถูกเลิกจ้าง ลาออก หรือสิ้นสุดสัญญาจ้าง เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval is acceptable since it includes the expected chunk. The answer is accurate and helpful (eligibility, benefit rates/durations, and required registration steps), though it skips the clarifying questions and omits the force majeure case; still acceptable overall.",
1,2,"1. ใช่ครับ
2.ลาออกเองครับ",13,"20,15,13,21,1,16,17,4,0,24,37,5","หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงาน และอยู่ในกรณีที่ 2 คือลาออก คุณจะได้รับเงินทดแทน โดยมีรายละเอียด ดังนี้
- ได้รับเงินทดแทนการขาดรายได้ในระหว่างการว่างงานร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 180 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน เกิน 1 ครั้ง ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 90 วัน

โดยผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัว
ทางระบบอินเตอร์เน็ต (เว็บไซต์ www.empui.doe.go.th) ภายใน
30 วัน นับแต่วันที่ถูกเลิกจ้างหรือลาออก หรือสิ้นสุดสัญญาจ้างฯ
เพื่อมิให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงาน",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีลาออกเอง ผู้ประกันตนต้องส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานค่ะ

จะได้รับเงินทดแทนการขาดรายได้ระหว่างการว่างงาน ร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วันค่ะ

ทั้งนี้ ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ลาออก เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval is acceptable as it includes the expected chunk (13). The answer correctly states the 6-in-15-month requirement, 30% benefit up to 90 days, and the need to register within 30 days; it omits the calendar-year total days nuance, but overall is accurate and acceptable.",
2,1,ถ้าต้องการยื่นขึ้นทะเบียนประกันสังคมต้องใช้เอกสารอะไรบ้าง,1,"17,1,0,24,44,25,21,23,46,20,49,15","หลักฐานประจำตัวผู้ประกันตน มีดังนี้
1. สำหรับผู้ประกันตนที่เป็นคนไทยจะใช้บัตรประจำตัวประชาชนแทนบัตรประกันสังคม
2. ผู้ประกันตนที่เป็นคนต่างด้าวที่ทำงานโดยมีใบอนุญาตทำงานจะได้รับบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม
3. ผู้ประกันตนที่เป็นคนต่างด้าวที่มีบัตรประจำตัวที่กรมการปกครองออกให้ หรือผู้ประกันตนต่างด้าวที่มีใบสำคัญประจำตัวคนต่างด้าวให้ใช้เอกสารดังกล่าวแทนบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

หากต้องการยื่นขึ้นทะเบียนนายจ้าง จะต้องใช้เอกสารดังนี้ค่ะ

*   แบบขึ้นทะเบียนนายจ้าง (สปส.1-1)
*   สำเนาทะเบียนพาณิชย์ หรือเอกสารแสดงการจดทะเบียนประกอบธุรกิจ
*   สำเนาบัตรประจำตัวประชาชนของนายจ้าง หรือผู้มีอำนาจลงนาม

หากต้องการยื่นขึ้นทะเบียนลูกจ้าง จะต้องใช้เอกสารดังนี้ค่ะ

*   แบบขึ้นทะเบียนผู้ประกันตน (สปส.1-03)
*   สำเนาบัตรประจำตัวประชาชนของผู้ประกันตน
*   กรณีเป็นแรงงานต่างด้าว ต้องมีสำเนาใบอนุญาตทำงาน

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",False,"Retrieval is acceptable (includes the expected chunk), but the answer content deviates from the expected focus. It adds employer registration docs and omits key details about acceptable identification for insured persons (e.g., use of Thai ID vs. social security card and specific foreign ID alternatives).","[
  ""Answer off-topic or misaligned with the user’s question"",
  ""Answer incomplete; omitted essential details or requested specifics""
]"
2,2,แล้วต้องไปยื่นขึ้นทะเบียนที่ไหน,1,"23,1,0,49,44,14,19,25,17,24,21,46","- กรณีนายจ้าง ที่มีสำนักงานใหญ่ตั้งอยู่ในเขตกรุงเทพมหานครให้ยื่นแบบได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่นที่สถานประกอบการตั้งอยู่
- กรณีนายจ้าง ที่มีสำนักงานใหญ่ในส่วนภูมิภาคให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่

***นายจ้างสามารถทำธุรกรรมผ่านทางอินเตอร์เน็ตได้ที่ www.sso.go.th***",True,"นายจ้างที่มีสำนักงานใหญ่ตั้งอยู่ในเขตกรุงเทพมหานคร ให้ยื่นแบบได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ที่สถานประกอบการตั้งอยู่ค่ะ

นายจ้างที่มีสำนักงานใหญ่ในส่วนภูมิภาค ให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่ค่ะ

นายจ้างสามารถทำธุรกรรมผ่านทางอินเทอร์เน็ตได้ที่ www.sso.go.th ค่ะ

มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",True,"Answer matches the expected content accurately, including both Bangkok/provincial offices and online option; tone differences are minor. Retrieval includes the expected chunk (1), so acceptable despite extra chunks.",
2,3,ต้องไปยื่นภายในกี่วัน,1,"44,49,21,13,16,17,1,6,46,20,28,7",เมื่อมีการรับลูกจ้างใหม่เพิ่มขึ้นต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่ลูกจ้างเข้าทำงานครับ,True,"นายจ้างต้องขึ้นทะเบียนนายจ้างพร้อมกับขึ้นทะเบียนลูกจ้างที่เป็นผู้ประกันตนภายใน 30 วัน นับตั้งแต่มีลูกจ้าง 1 คนขึ้นไปค่ะ

และเมื่อมีการรับลูกจ้างใหม่เพิ่มขึ้น ต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่วันที่ลูกจ้างเข้าทำงานค่ะ

มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",True,"Retrieval is acceptable as it includes the expected chunk (1) despite extra chunks. The answer correctly states the 30-day requirement for registering new employees and adds relevant employer registration context, which is accurate and not contradictory.",
3,1,ผมไข้ขึ้นที่ต่างจังหวัด ไปรพ.ที่ลงทะเบียนไว้ไม่ได้ ถ้าผมไปเข้า รพ.เอกชน ในต่างจังหวัด จะเบิกได้ไหม,2,"43,4,3,2,8,1,6,7,46,22,27,25","คุณสามารถเบิกค่ารักษากับสำนักงานประกันสังคมได้ครับ หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 3 เดือน ภายใน 15 เดือนก่อนเดือนที่เจ็บป่วย โดยกรณีการประสบเจ็บป่วยฉุกเฉิน ไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ เมื่อเข้ารับการบริการทางการแพทย์ ณ สถานพยาบาลอื่น ซึ่งหากคุณต้องการเข้ารักษาใน รพ.เอกชน สำนักงานประกันสังคมจ่ายค่าบริการทางการแพทย์ให้แก่ผู้ประกันตนหรือสถานพยาบาล ดังนี้
1. ผู้ป่วยนอก
: ให้ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาท
2. ผู้ป่วยใน
: ให้ได้รับค่าบริการทางการแพทย์เฉพาะค่าใช้จ่ายที่เกิดขึ้นจริงตามความจำเป็น ภายในระยะเวลาไม่เกิน 72 ชั่วโมงแรก โดยไม่รวมวันหยุดราชการ ตามหลักเกณฑ์และจำนวนเงินทดแทนค่าบริการทางการแพทย์กรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน ดังนี้
- ค่ารักษาพยาบาลแต่ไม่เกินวันละ 2,000 บาท
- ค่าห้องและค่าอาหาร ตามจำนวนเท่าที่จ่ายจริงไม่เกินวันละ 700 บาท
- ค่าห้อง ค่าอาหาร ค่ารักษาพยาบาล กรณีที่รักษาในห้อง ICU ตามจำนวนเท่าที่จ่ายจริงแต่ไม่เกินวันละ 4,500 บาท
",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีผู้ประกันตนประสบอันตรายหรือเจ็บป่วยฉุกเฉิน และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่ลงทะเบียนสิทธิไว้ได้ หากเข้ารับการรักษาที่โรงพยาบาลเอกชนอื่น จะสามารถเบิกค่าบริการทางการแพทย์ได้ตามหลักเกณฑ์และเงื่อนไขที่กำหนดค่ะ

โดยทั่วไปแล้ว สำนักงานประกันสังคมจะจ่ายค่าบริการทางการแพทย์ให้แก่สถานพยาบาลเอกชน ดังนี้ค่ะ

*   **ค่ารักษาพยาบาล:** เท่าที่จ่ายจริง แต่ไม่เกินวันละ 2,000 บาท
*   **ค่าห้องและค่าอาหาร:** ตามจำนวนที่จ่ายจริง แต่ไม่เกินวันละ 700 บาท
*   **ค่าห้อง ค่าอาหาร และค่ารักษาพยาบาล กรณีรักษาในห้อง ICU:** ตามจำนวนที่จ่ายจริง แต่ไม่เกินวันละ 4,500 บาท

ทั้งนี้ การเบิกจ่ายจะเป็นไปตามความจำเป็นและระยะเวลาที่กำหนด ไม่เกิน 72 ชั่วโมงแรกของการรักษาค่ะ

ไม่ทราบว่าสนใจรายละเอียดในส่วนนี้เพิ่มเติมไหมคะ",True,"Retrieval is acceptable (includes the expected chunk). The answer correctly states that emergency care at a private hospital can be reimbursed and lists the inpatient limits and 72‑hour rule, but it omits the OPD 1,000 THB detail and the contribution eligibility condition (3 months within 15 months). Mostly correct with minor omissions in answer content.",
3,2,แค่อยากไปให้หมอตรวจแล้วเอายามากินครับ ไม่อยากแอดมิด พรุ่งนี้มีงานต้องไปทำต่อครับ,2,"49,6,2,3,4,1,8,34,15,47,45,17","กรณีผู้ป่วยนอก และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ คุณมีสิทธิ์ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาทครับ",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

หากคุณต้องการไปพบแพทย์เพื่อตรวจวินิจฉัยและรับยา โดยไม่ต้องการเข้ารับการรักษาแบบผู้ป่วยใน (แอดมิด) และต้องการกลับไปทำงานในวันรุ่งขึ้น สามารถเข้ารับการรักษาที่โรงพยาบาลเอกชนอื่นได้ค่ะ

ตามข้อมูลในคู่มือผู้ประกันตน กรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่ลงทะเบียนสิทธิไว้ได้ เมื่อเข้ารับการบริการทางการแพทย์ ณ สถานพยาบาลเอกชนอื่น สำนักงานประกันสังคมจะจ่ายค่าบริการทางการแพทย์ให้แก่ผู้ประกันตนหรือสถานพยาบาล ดังนี้ค่ะ

*   **ผู้ป่วยนอก:** ให้ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริง ไม่เกิน 1,000 บาท

ดังนั้น หากคุณไปพบแพทย์เพื่อตรวจและรับยา โดยไม่ต้องนอนโรงพยาบาล จะสามารถเบิกค่ารักษาพยาบาลในส่วนของผู้ป่วยนอกได้ตามเงื่อนไขที่กล่าวมาค่ะ

ไม่ทราบว่ามีเรื่องอื่นที่อยากสอบถามเพิ่มเติมไหมคะ",True,"Retrieval includes the expected chunk; answer correctly states the outpatient reimbursement up to 1,000 THB when unable to use the designated facility. Minor verbosity and added emergency context, but the core information matches the expected answer.",
3,3,แล้วในกรณีนี้ผมต้องทำเรื่องเบิกยังไง,2,"43,45,25,1,17,7,44,5,46,4,21,18",ขออภัยครับ ข้อมูลส่วนนี้ไม่ปรากฎในคู่มือประกันตนที่ผมเข้าถึง ณ ตอนนี้ จึงยืนยันคำตอบให้ไม่ได้ครับ ,False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

ในกรณีที่คุณเข้ารับการรักษาที่โรงพยาบาลเอกชนอื่น เนื่องจากเจ็บป่วยฉุกเฉิน และต้องการเบิกค่ารักษาพยาบาล คุณจะต้องสำรองจ่ายค่ารักษาพยาบาลไปก่อน จากนั้นจึงยื่นเรื่องเบิกกับสำนักงานประกันสังคมค่ะ

เอกสารที่ต้องใช้ในการยื่นเบิกโดยทั่วไป ได้แก่:

*   **ใบเสร็จรับเงินค่ารักษาพยาบาลฉบับจริง**
*   **ใบรับรองแพทย์**
*   **สำเนาบัตรประจำตัวประชาชน**
*   **สำเนาหน้าสมุดบัญชีเงินฝากธนาคาร** (เพื่อใช้ในการรับเงินค่าสินไหมทดแทน)

คุณสามารถยื่นเอกสารเหล่านี้ได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ หรือสำนักงานประกันสังคมจังหวัดที่สะดวกค่ะ

ไม่ทราบว่าต้องการให้แนะนำขั้นตอนการยื่นเอกสารเพิ่มเติมไหมคะ",False,Retrieval missed the expected chunk (2) entirely. The answer gives specific reimbursement steps not supported by the retrieved content and contradicts the expected response to acknowledge unavailable information. Both retrieval and answer content are unsuitable for this turn.,"[
  ""Expected chunk not retrieved; answered without supporting evidence"",
  ""Provided unsupported or factually incorrect details, misleading policy information"",
  ""Failed to acknowledge insufficient information when sources were unavailable""
]"
4,1,ผมสามารถโทรถามข้อมูลได้ไหมครับ,52,"50,39,45,14,46,49,52,21,43,4,2,38",ได้ครับ ขอทราบหน่วยงานสังกัดสำนักงานประกันสังคมหรือจังหวัดที่อยู่ของคุณครับ,True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

คุณสามารถสอบถามข้อมูลเพิ่มเติมได้ที่ สายด่วน 1506 ตลอด 24 ชั่วโมงค่ะ มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",True,"Retrieval includes the expected chunk (52) despite extra items. The answer correctly addresses the question by confirming phone inquiries and providing the 1506 hotline, though it differs from the expected follow-up request for agency/province; minor deviation but acceptable.",
4,2,ผมอยู่สงขลาครับ,52,"52,51,1,0,6,16,25,9,28,23,4,41","หมายเลขโทรศัทพ์หน่วยงานสังกัดสำนักงานประกันสังคมของคุณ มีดังนี้ครับ
- สำนักงานประกันสังคมจังหวัดสงขลา โทร 0 7430 0550
   - สาขาหาดใหญ่ โทร 0 7455 9600-4
   - สาขาสะเดา 0 7424 1317, 0 7424 1319",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

หากคุณอยู่ที่จังหวัดสงขลา สามารถติดต่อสำนักงานประกันสังคมจังหวัดสงขลา ได้ที่หมายเลขโทรศัพท์ 0 7430 0550 ค่ะ มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",True,"Retrieval is acceptable since the expected chunk (52) is included. The answer provides a correct and relevant phone number for Songkhla but omits the branch numbers (Hat Yai and Sadao), making it slightly incomplete yet still generally useful.",
